CTUID,City,Population,Land Area (km),Tree Count,Basal Area Sum,DED Sus Tree Count,DED Sus Basal Area,DED Tree Count,DED Basal Area,EAB Tree Count,EAB Basal Area,Tree Count Per Capita,Basal Area Sum Per Capita,DED Sus Tree Count Per Capita,DED Sus Basal Area Per Capita,DED Tree Count Per Capita,DED Basal Area Per Capita,EAB Tree Count Per Capita,EAB Basal Area Per Capita,Tree Count Proportion,Basal Area Sum Proportion,DED Sus Tree Count Proportion,DED Sus Basal Area Proportion,DED Tree Count Proportion,DED Basal Area Proportion,EAB Tree Count Proportion,EAB Basal Area Proportion
6020010,Winnipeg,5356,1.75,4327,853.6831472,1555,99.53460594,1464,92.85336522,3844,815.4503465,0.807879014,0.15938819,0.290328603,0.018583758,0.273338312,0.017336327,0.717699776,0.152249878,3.32E-06,5.59E-06,1.67E-06,1.28E-06,1.83E-06,1.64E-06,4.22E-06,6.56E-06
6020011,Winnipeg,6579,0.62,1069,199.1040051,449,35.2098747,432,34.34923338,870,180.5897709,0.1624867,0.030263567,0.068247454,0.005351858,0.065663475,0.005221042,0.132238942,0.027449426,6.67E-07,1.06E-06,3.92E-07,3.68E-07,4.39E-07,4.95E-07,7.77E-07,1.18E-06
6020012,Winnipeg,5090,0.79,882,127.6069225,353,25.4131878,322,24.20241516,735,116.8452146,0.173280943,0.025070122,0.06935167,0.004992768,0.063261297,0.004754895,0.144400786,0.022955838,7.11E-07,8.80E-07,3.98E-07,3.44E-07,4.22E-07,4.51E-07,8.48E-07,9.89E-07
6020013,Winnipeg,2326,0.99,814,56.06475798,551,43.75047138,423,34.0753644,622,49.90093878,0.349957008,0.024103507,0.23688736,0.018809317,0.181857266,0.01464977,0.267411866,0.021453542,1.44E-06,8.46E-07,1.36E-06,1.30E-06,1.21E-06,1.39E-06,1.57E-06,9.24E-07
6020014,Winnipeg,6582,0.68,935,104.0719403,423,25.51756746,360,22.4561568,782,93.6440274,0.142054087,0.015811598,0.06426618,0.003876871,0.054694622,0.003411753,0.118808873,0.014227291,5.83E-07,5.55E-07,3.69E-07,2.67E-07,3.65E-07,3.23E-07,6.98E-07,6.13E-07
6020015,Winnipeg,6600,0.96,1276,211.096906,685,55.93626654,650,52.3948194,1055,192.6731499,0.193333333,0.03198438,0.103787879,0.008475192,0.098484848,0.007938609,0.159848485,0.029192902,7.94E-07,1.12E-06,5.96E-07,5.84E-07,6.58E-07,7.53E-07,9.39E-07,1.26E-06
6020016,Winnipeg,2352,0.47,935,153.7139327,471,21.1249038,460,20.25303126,760,139.1995051,0.397534014,0.065354563,0.200255102,0.008981677,0.195578231,0.008610983,0.323129252,0.059183463,1.63E-06,2.29E-06,1.15E-06,6.18E-07,1.31E-06,8.16E-07,1.90E-06,2.55E-06
6020017,Winnipeg,3440,0.61,1974,435.0903157,722,29.09192286,696,28.19593854,1739,416.7213019,0.573837209,0.126479743,0.209883721,0.008456954,0.202325581,0.008196494,0.505523256,0.121139913,2.36E-06,4.44E-06,1.21E-06,5.82E-07,1.35E-06,7.77E-07,2.97E-06,5.22E-06
6020018,Winnipeg,2755,0.83,1393,249.3813076,665,34.44246036,600,27.68165862,1242,236.2055157,0.505626134,0.090519531,0.24137931,0.0125018,0.217785844,0.010047789,0.450816697,0.085737029,2.08E-06,3.18E-06,1.39E-06,8.61E-07,1.45E-06,9.53E-07,2.65E-06,3.69E-06
6020019,Winnipeg,3185,1.67,1327,278.4996199,437,14.52275286,431,14.21409066,1140,269.7314928,0.416640502,0.087441011,0.137205651,0.004559734,0.135321821,0.004462823,0.357927786,0.084688067,1.71E-06,3.07E-06,7.88E-07,3.14E-07,9.04E-07,4.23E-07,2.10E-06,3.65E-06
